a
b
c
d
e
f
g
h
a,b
a,c
a,d
a,e
a,f
a,g
a,h
b,c
b,d
b,e
b,f
b,g
b,h
c,d
c,e
c,f
c,g
c,h
d,e
d,f
d,g
d,h
e,f
e,g
e,h
f,g
f,h
g,h
a,b,c
a,b,d
a,b,e
a,b,f
a,b,g
a,b,h
a,c,d
a,c,e
a,c,f
a,c,g
a,c,h
a,d,e
a,d,f
a,d,g
a,d,h
a,e,f
a,e,g
a,e,h
a,f,g
a,f,h
a,g,h
b,c,d
b,c,e
b,c,f
b,c,g
b,c,h
b,d,e
b,d,f
b,d,g
b,d,h
b,e,f
b,e,g
b,e,h
b,f,g
b,f,h
b,g,h
c,d,e
c,d,f
c,d,g
c,d,h
c,e,f
c,e,g
c,e,h
c,f,g
c,f,h
c,g,h
d,e,f
d,e,g
d,e,h
d,f,g
d,f,h
d,g,h
e,f,g
e,f,h
e,g,h
f,g,h
a,b,d,f
a,b,e,f
a,e,g,h
b,d,e,g
b,d,f,g
